trial_id,block_no,ori,rest_this_trial
1,1,95,0
2,1,55,0
3,1,15,0
4,1,161,0
5,1,1,0
6,1,21,0
7,1,115,0
8,1,101,0
9,1,75,0
10,1,155,0
11,1,81,0
12,1,121,0
13,1,61,0
14,1,135,0
15,1,35,0
16,1,41,0
17,1,175,0
18,1,141,0
19,2,12,1
20,2,72,0
21,2,92,0
22,2,107,0
23,2,7,0
24,2,87,0
25,2,112,0
26,2,27,0
27,2,52,0
28,2,172,0
29,2,32,0
30,2,132,0
31,2,152,0
32,2,167,0
33,2,147,0
34,2,127,0
35,2,47,0
36,2,67,0
37,3,76,1
38,3,4,0
39,3,84,0
40,3,116,0
41,3,156,0
42,3,36,0
43,3,136,0
44,3,104,0
45,3,24,0
46,3,164,0
47,3,16,0
48,3,144,0
49,3,124,0
50,3,176,0
51,3,96,0
52,3,64,0
53,3,44,0
54,3,56,0
55,4,90,1
56,4,70,0
57,4,142,0
58,4,2,0
59,4,82,0
60,4,50,0
61,4,130,0
62,4,10,0
63,4,162,0
64,4,170,0
65,4,42,0
66,4,30,0
67,4,122,0
68,4,102,0
69,4,110,0
70,4,150,0
71,4,22,0
72,4,62,0
73,5,6,1
74,5,126,0
75,5,46,0
76,5,106,0
77,5,156,0
78,5,76,0
79,5,166,0
80,5,176,0
81,5,136,0
82,5,56,0
83,5,16,0
84,5,66,0
85,5,86,0
86,5,26,0
87,5,36,0
88,5,116,0
89,5,96,0
90,5,146,0
91,6,80,1
92,6,155,0
93,6,95,0
94,6,135,0
95,6,0,0
96,6,75,0
97,6,100,0
98,6,175,0
99,6,115,0
100,6,55,0
101,6,15,0
102,6,35,0
103,6,40,0
104,6,140,0
105,6,20,0
106,6,60,0
107,6,160,0
108,6,120,0
109,7,74,1
110,7,114,0
111,7,34,0
112,7,45,0
113,7,145,0
114,7,165,0
115,7,14,0
116,7,154,0
117,7,125,0
118,7,25,0
119,7,5,0
120,7,85,0
121,7,65,0
122,7,54,0
123,7,174,0
124,7,105,0
125,7,134,0
126,7,94,0
127,8,139,1
128,8,122,0
129,8,159,0
130,8,59,0
131,8,82,0
132,8,179,0
133,8,79,0
134,8,22,0
135,8,102,0
136,8,142,0
137,8,62,0
138,8,119,0
139,8,162,0
140,8,39,0
141,8,42,0
142,8,99,0
143,8,19,0
144,8,2,0
145,9,111,1
146,9,51,0
147,9,11,0
148,9,151,0
149,9,40,0
150,9,91,0
151,9,71,0
152,9,171,0
153,9,31,0
154,9,60,0
155,9,0,0
156,9,80,0
157,9,20,0
158,9,140,0
159,9,120,0
160,9,131,0
161,9,160,0
162,9,100,0
163,10,18,1
164,10,118,0
165,10,158,0
166,10,3,0
167,10,138,0
168,10,38,0
169,10,178,0
170,10,78,0
171,10,123,0
172,10,98,0
173,10,143,0
174,10,23,0
175,10,83,0
176,10,103,0
177,10,43,0
178,10,63,0
179,10,58,0
180,10,163,0
181,11,126,1
182,11,46,0
183,11,158,0
184,11,178,0
185,11,18,0
186,11,38,0
187,11,6,0
188,11,166,0
189,11,118,0
190,11,58,0
191,11,26,0
192,11,98,0
193,11,146,0
194,11,78,0
195,11,66,0
196,11,86,0
197,11,106,0
198,11,138,0
199,12,7,1
200,12,130,0
201,12,110,0
202,12,127,0
203,12,67,0
204,12,30,0
205,12,167,0
206,12,170,0
207,12,90,0
208,12,10,0
209,12,70,0
210,12,27,0
211,12,107,0
212,12,47,0
213,12,150,0
214,12,87,0
215,12,147,0
216,12,50,0
217,13,52,1
218,13,49,0
219,13,109,0
220,13,89,0
221,13,12,0
222,13,92,0
223,13,152,0
224,13,29,0
225,13,72,0
226,13,129,0
227,13,149,0
228,13,32,0
229,13,132,0
230,13,169,0
231,13,172,0
232,13,69,0
233,13,112,0
234,13,9,0
235,14,0,1
236,14,80,0
237,14,96,0
238,14,120,0
239,14,36,0
240,14,100,0
241,14,60,0
242,14,136,0
243,14,56,0
244,14,76,0
245,14,16,0
246,14,176,0
247,14,116,0
248,14,160,0
249,14,20,0
250,14,140,0
251,14,156,0
252,14,40,0
253,15,129,1
254,15,169,0
255,15,149,0
256,15,92,0
257,15,9,0
258,15,49,0
259,15,29,0
260,15,172,0
261,15,69,0
262,15,72,0
263,15,32,0
264,15,112,0
265,15,89,0
266,15,152,0
267,15,52,0
268,15,132,0
269,15,109,0
270,15,12,0
271,16,19,1
272,16,159,0
273,16,145,0
274,16,85,0
275,16,105,0
276,16,45,0
277,16,59,0
278,16,165,0
279,16,119,0
280,16,65,0
281,16,39,0
282,16,125,0
283,16,79,0
284,16,99,0
285,16,5,0
286,16,179,0
287,16,139,0
288,16,25,0
289,17,87,1
290,17,147,0
291,17,54,0
292,17,174,0
293,17,114,0
294,17,167,0
