trial_id,block_no,ori,rest_this_trial
1,1,57,0
2,1,149,0
3,1,157,0
4,1,117,0
5,1,169,0
6,1,77,0
7,1,129,0
8,1,49,0
9,1,137,0
10,1,177,0
11,1,97,0
12,1,69,0
13,1,109,0
14,1,17,0
15,1,29,0
16,1,37,0
17,1,89,0
18,1,9,0
19,2,130,1
20,2,80,0
21,2,140,0
22,2,30,0
23,2,110,0
24,2,170,0
25,2,100,0
26,2,40,0
27,2,70,0
28,2,50,0
29,2,20,0
30,2,160,0
31,2,60,0
32,2,120,0
33,2,150,0
34,2,10,0
35,2,0,0
36,2,90,0
37,3,152,1
38,3,164,0
39,3,32,0
40,3,132,0
41,3,144,0
42,3,52,0
43,3,112,0
44,3,104,0
45,3,84,0
46,3,172,0
47,3,4,0
48,3,124,0
49,3,12,0
50,3,92,0
51,3,44,0
52,3,24,0
53,3,64,0
54,3,72,0
55,4,46,1
56,4,14,0
57,4,154,0
58,4,6,0
59,4,146,0
60,4,134,0
61,4,86,0
62,4,126,0
63,4,94,0
64,4,166,0
65,4,114,0
66,4,34,0
67,4,106,0
68,4,66,0
69,4,26,0
70,4,74,0
71,4,54,0
72,4,174,0
73,5,129,1
74,5,13,0
75,5,173,0
76,5,49,0
77,5,53,0
78,5,69,0
79,5,93,0
80,5,89,0
81,5,133,0
82,5,109,0
83,5,149,0
84,5,9,0
85,5,33,0
86,5,153,0
87,5,113,0
88,5,73,0
89,5,169,0
90,5,29,0
91,6,48,1
92,6,78,0
93,6,118,0
94,6,138,0
95,6,168,0
96,6,8,0
97,6,38,0
98,6,58,0
99,6,98,0
100,6,108,0
101,6,88,0
102,6,178,0
103,6,68,0
104,6,18,0
105,6,128,0
106,6,158,0
107,6,28,0
108,6,148,0
109,7,158,1
110,7,24,0
111,7,124,0
112,7,58,0
113,7,144,0
114,7,4,0
115,7,104,0
116,7,18,0
117,7,138,0
118,7,64,0
119,7,84,0
120,7,44,0
121,7,78,0
122,7,38,0
123,7,118,0
124,7,178,0
125,7,164,0
126,7,98,0
127,8,25,1
128,8,73,0
129,8,145,0
130,8,93,0
131,8,45,0
132,8,5,0
133,8,33,0
134,8,173,0
135,8,53,0
136,8,133,0
137,8,85,0
138,8,13,0
139,8,65,0
140,8,113,0
141,8,153,0
142,8,125,0
143,8,165,0
144,8,105,0
145,9,141,1
146,9,56,0
147,9,156,0
148,9,16,0
149,9,61,0
150,9,116,0
151,9,41,0
152,9,161,0
153,9,76,0
154,9,81,0
155,9,36,0
156,9,176,0
157,9,1,0
158,9,21,0
159,9,96,0
160,9,121,0
161,9,136,0
162,9,101,0
163,10,140,1
164,10,95,0
165,10,115,0
166,10,20,0
167,10,175,0
168,10,35,0
169,10,0,0
170,10,155,0
171,10,60,0
172,10,135,0
173,10,120,0
174,10,80,0
175,10,75,0
176,10,40,0
177,10,55,0
178,10,100,0
179,10,160,0
180,10,15,0
181,11,164,1
182,11,64,0
183,11,71,0
184,11,11,0
185,11,4,0
186,11,151,0
187,11,144,0
188,11,24,0
189,11,111,0
190,11,131,0
191,11,84,0
192,11,171,0
193,11,124,0
194,11,51,0
195,11,31,0
196,11,91,0
197,11,44,0
198,11,104,0
199,12,123,1
200,12,97,0
201,12,3,0
202,12,163,0
203,12,103,0
204,12,177,0
205,12,157,0
206,12,63,0
207,12,23,0
208,12,117,0
209,12,37,0
210,12,83,0
211,12,43,0
212,12,57,0
213,12,143,0
214,12,137,0
215,12,17,0
216,12,77,0
217,13,76,1
218,13,176,0
219,13,16,0
220,13,4,0
221,13,24,0
222,13,156,0
223,13,144,0
224,13,84,0
225,13,96,0
226,13,116,0
227,13,36,0
228,13,164,0
229,13,124,0
230,13,44,0
231,13,136,0
232,13,56,0
233,13,104,0
234,13,64,0
235,14,51,1
236,14,81,0
237,14,111,0
238,14,11,0
239,14,71,0
240,14,121,0
241,14,131,0
242,14,101,0
243,14,41,0
244,14,1,0
245,14,31,0
246,14,61,0
247,14,21,0
248,14,91,0
249,14,141,0
250,14,151,0
251,14,171,0
252,14,161,0
253,15,44,1
254,15,4,0
255,15,144,0
256,15,91,0
257,15,11,0
258,15,151,0
259,15,164,0
260,15,104,0
261,15,64,0
262,15,111,0
263,15,84,0
264,15,24,0
265,15,51,0
266,15,71,0
267,15,171,0
268,15,131,0
269,15,31,0
270,15,124,0
271,16,164,1
272,16,64,0
273,16,54,0
274,16,24,0
275,16,84,0
276,16,154,0
277,16,124,0
278,16,4,0
279,16,14,0
280,16,44,0
281,16,114,0
282,16,104,0
283,16,174,0
284,16,134,0
285,16,94,0
286,16,34,0
287,16,144,0
288,16,74,0
289,17,112,1
290,17,26,0
291,17,132,0
292,17,46,0
293,17,146,0
294,17,152,0
295,17,32,0
296,17,166,0
297,17,52,0
298,17,12,0
299,17,6,0
300,17,106,0
301,17,126,0
302,17,172,0
303,17,72,0
304,17,66,0
305,17,92,0
306,17,86,0
307,18,125,1
308,18,36,0
309,18,16,0
310,18,65,0
311,18,85,0
312,18,145,0
313,18,136,0
314,18,176,0
315,18,25,0
316,18,105,0
317,18,76,0
318,18,116,0
319,18,45,0
320,18,156,0
321,18,96,0
322,18,56,0
323,18,5,0
324,18,165,0
325,19,87,1
326,19,138,0
327,19,107,0
328,19,158,0
329,19,98,0
330,19,78,0
331,19,38,0
332,19,178,0
333,19,118,0
334,19,67,0
335,19,18,0
336,19,27,0
337,19,58,0
338,19,7,0
339,19,147,0
340,19,47,0
341,19,167,0
342,19,127,0
343,20,3,1
344,20,151,0
345,20,11,0
346,20,23,0
347,20,63,0
348,20,31,0
349,20,163,0
350,20,43,0
351,20,91,0
352,20,123,0
353,20,111,0
354,20,143,0
355,20,103,0
356,20,171,0
357,20,51,0
358,20,131,0
359,20,83,0
360,20,71,0
