trial_id,block_no,ori,rest_this_trial
1,1,18,0
2,1,127,0
3,1,27,0
4,1,167,0
5,1,178,0
6,1,147,0
7,1,7,0
8,1,98,0
9,1,107,0
10,1,78,0
11,1,38,0
12,1,138,0
13,1,158,0
14,1,47,0
15,1,87,0
16,1,58,0
17,1,67,0
18,1,118,0
19,2,173,1
20,2,21,0
21,2,93,0
22,2,61,0
23,2,153,0
24,2,161,0
25,2,73,0
26,2,121,0
27,2,1,0
28,2,141,0
29,2,101,0
30,2,133,0
31,2,13,0
32,2,81,0
33,2,53,0
34,2,33,0
35,2,113,0
36,2,41,0
37,3,109,1
38,3,52,0
39,3,32,0
40,3,49,0
41,3,112,0
42,3,72,0
43,3,169,0
44,3,12,0
45,3,9,0
46,3,129,0
47,3,29,0
48,3,172,0
49,3,89,0
50,3,152,0
51,3,132,0
52,3,149,0
53,3,69,0
54,3,92,0
55,4,7,1
56,4,27,0
57,4,87,0
58,4,147,0
59,4,67,0
60,4,19,0
61,4,179,0
62,4,119,0
63,4,47,0
64,4,39,0
65,4,107,0
66,4,79,0
67,4,127,0
68,4,59,0
69,4,167,0
70,4,159,0
71,4,139,0
72,4,99,0
73,5,79,1
74,5,46,0
75,5,26,0
76,5,6,0
77,5,159,0
78,5,139,0
79,5,39,0
80,5,146,0
81,5,19,0
82,5,59,0
83,5,166,0
84,5,126,0
85,5,66,0
86,5,179,0
87,5,86,0
88,5,99,0
89,5,119,0
90,5,106,0
91,6,67,1
92,6,87,0
93,6,137,0
94,6,47,0
95,6,37,0
96,6,127,0
97,6,17,0
98,6,147,0
99,6,117,0
100,6,27,0
101,6,97,0
102,6,77,0
103,6,167,0
104,6,7,0
105,6,157,0
106,6,107,0
107,6,177,0
108,6,57,0
109,7,53,1
110,7,33,0
111,7,173,0
112,7,93,0
113,7,1,0
114,7,133,0
115,7,101,0
116,7,21,0
117,7,81,0
118,7,153,0
119,7,41,0
120,7,161,0
121,7,61,0
122,7,121,0
123,7,13,0
124,7,73,0
125,7,141,0
126,7,113,0
127,8,104,1
128,8,84,0
129,8,57,0
130,8,177,0
131,8,117,0
132,8,157,0
133,8,4,0
134,8,44,0
135,8,37,0
136,8,124,0
137,8,64,0
138,8,24,0
139,8,164,0
140,8,137,0
141,8,17,0
142,8,97,0
143,8,77,0
144,8,144,0
145,9,102,1
146,9,2,0
147,9,32,0
148,9,142,0
149,9,72,0
150,9,22,0
151,9,12,0
152,9,52,0
153,9,82,0
154,9,162,0
155,9,152,0
156,9,62,0
157,9,132,0
158,9,92,0
159,9,122,0
160,9,172,0
161,9,42,0
162,9,112,0
163,10,34,1
164,10,54,0
165,10,121,0
166,10,154,0
167,10,21,0
168,10,74,0
169,10,61,0
170,10,1,0
171,10,81,0
172,10,141,0
173,10,14,0
174,10,41,0
175,10,114,0
176,10,101,0
177,10,174,0
178,10,94,0
179,10,161,0
180,10,134,0
181,11,106,1
182,11,146,0
183,11,54,0
184,11,74,0
185,11,166,0
186,11,66,0
187,11,154,0
188,11,26,0
189,11,46,0
190,11,114,0
191,11,34,0
192,11,174,0
193,11,6,0
194,11,14,0
195,11,94,0
196,11,126,0
197,11,134,0
198,11,86,0
199,12,65,1
200,12,145,0
201,12,176,0
202,12,5,0
203,12,165,0
204,12,56,0
205,12,105,0
206,12,96,0
207,12,116,0
208,12,136,0
209,12,156,0
210,12,76,0
211,12,25,0
212,12,45,0
213,12,85,0
214,12,36,0
215,12,125,0
216,12,16,0
217,13,41,1
218,13,101,0
219,13,34,0
220,13,174,0
221,13,154,0
222,13,61,0
223,13,74,0
224,13,161,0
225,13,141,0
226,13,21,0
227,13,121,0
228,13,14,0
229,13,54,0
230,13,1,0
231,13,94,0
232,13,81,0
233,13,114,0
234,13,134,0
235,14,22,1
236,14,18,0
237,14,42,0
238,14,78,0
239,14,102,0
240,14,158,0
241,14,178,0
242,14,142,0
243,14,122,0
244,14,138,0
245,14,58,0
246,14,162,0
247,14,82,0
248,14,38,0
249,14,98,0
250,14,118,0
251,14,62,0
252,14,2,0
253,15,145,1
254,15,165,0
255,15,78,0
256,15,125,0
257,15,38,0
258,15,18,0
259,15,58,0
260,15,118,0
261,15,138,0
262,15,178,0
263,15,98,0
264,15,85,0
265,15,105,0
